建	建	jian4	establish; to build; to construct
重建	重建	chong2jian4	to rebuild; to reconstruct; to reestablish; reconstruction; rebuilding
到底	到底	dao4di3	in the end; after all (in a question for emphasis); until the end, go to the end of the road (direction)
世纪	世紀	shi4ji4	century
贸易	貿易	mao4yi4	(commercial) trade
商业	商業	shang1ye4	business; commerce; trade
利益	利益	li4yi4	benefit; (in sb.'s) interest
派	派	pai4	school; group; to dispatch; send; assign; pi (Greek letter Ππ); (loanword) pie
军队	軍隊	jun1dui4	army troops; armed forces
烧	燒	shao1	to burn; to cook; to stew
城墙	城牆	cheng2qiang2	city wall
头发	頭髮	tou2fa5	hair (on the head)
甚至	甚至	shen4zhi4	even (to the point of); so much so that
打仗	打仗	da3zhang4	fight; go to war; fight a battle
少数	少數	shao3shu4	small number; minority; few
开垦	開墾	kai1ken3	clear a wild area for cultivation
将军	將軍	jiang1jun1	a general (military officer)
军人	軍人	jun1ren2	soldier; military personnel
平原	平原	ping2yuan2	field; plain; flatlands
人口	人口	ren2kou3	population; the populace
血统	血統	xue4tong3	lineage; blood relationship
喽	嘍	lou5, lou2	(final particle used to attract attention); a final particle meaning 'in that case'
孙子	孫子	sun1zi5	grandson; Sun Zi (Chinese philosopher - Sun1zi3)
领土	領土	ling3tu3	territory
男性	男性	nan2xing4	male; man
禁止	禁止	jin4zhi3	ban; forbid; prohibit
娶	娶	qu3	marry (a wife); take a wife
相信	相信	xiang1xin4	believe (sb.); be convinced of
精彩	精彩	jing1cai3	brilliant; spectacular; wonderful
红毛城	紅毛城	hong2mao2cheng2	Fort Santo Domingo, lit. red-hair city (wall)
东方	東方	dong1fang1	the East; Eastern countries
淡水	淡水	dan4shui3	freshwater; potable water (water with low salt content); Popular tourist destination in Northern Taiwan.
汉人	漢人	Han4ren2	the Han people
郑成功	鄭成功	zheng4cheng2gong1	Zheng Chenggong (Koxinga, 國姓爺, 1624-1662, who ruled Taiwan against the Manchu sovereignety)
明朝	明朝	Ming2chao2	Ming Dynasty
中南美洲	中南美洲	zhong1nan2mei3zhou1	Central and South America 
清朝	清朝	Qing1chao2	Qing dynasty (1644-1911)
大清帝国	大清帝國	da4qing1di4guo2	the (great) Qing dynasty (1644-1911); Qing empire
轮到	輪到	lun2dao4	become the turn of
十七世纪初	十七世紀初	shi2 qi1 shi4 ji4 chu1	early 17th century
打败	打敗	da3bai4	to defeat; be defeated
十七世纪末	十七世紀末	shi2 qi1 shi4 ji4 mo4	late 17th century
餐桌	餐桌	can1zhuo1	dining table
中式	中式	zhong1shi4	Chinese-style
套	套	tao4	cover; sheath; (mw for sets of things); tie together
烧饼	燒餅	shao1bing5	baked sesame seed coated cake
油条	油條	you2tiao2	deep-fried dough stick
饭团	飯糰	fan4tuan2	onigiri, a Japanese rice-ball snack
豆浆	豆漿	dou4jiang1	soy milk
内战	內戰	nei4zhan4	civil war
人民	人民	ren2min2	the people
摊子	攤子	tan1zi5	stall; booth; setup
菜单	菜單	cai4dan1	menu; bill of fare
萝卜	蘿蔔	luo2bo5	radish; turnip
接著	接著	jie1zhe5	catch and hold on; after that; then
战争	戰爭	zhan4zheng1	war; conflict
不断	不斷	bu2duan4	unceasing; uninterrupted; continuously; unbroken
迁移	遷移	qian1yi2	migrate; transfer
多半	多半	duo1ban4	for the most part; mostly; most likely
困难	困難	kun4nan5	difficulty; difficult; problem
节俭	節儉	jie2jian3	frugal
主妇	主婦	zhu3fu4	mistress of household affairs
煎	煎	jian1	pan-fry; fry in shallow oil
菜色	菜色	cai4se4	dish; lean and hungry look (resulting from vegetarian diet); emaciated look (from malnutrition)
以及	以及	yi3ji2	as well as; too; (formal) and
美味	美味	mei3wei4	delicious
点心	點心	dian3xin5	dim sum; light refreshments; snacks; dessert
日式	日式	ri4shi4	Japanese style
饮食	飲食	yin3shi2	food and drink; diet
深	深	shen1	deep; profound; dark (of colors)
蒋介石	蔣介石	Jiang3 Jie4shi2	img:http://www.internationalwoodsuppliers.com/SkritterImages/RecentHistory/chiangkaishek.jpg Chiang Kai-shek (1887-1975), military leader, head of the Nationalist government in China 1928-1949 and the government in exile on Taiwan 1950-1975.
国共内战	國共內戰	guo2gong4nei4zhan4	Chinese Civil War
客家人	客家人	ke4jia1ren2	the Hakka people
闽南人	閩南人	Min3nan2ren2	the Southern Min people, also called Hokkien 
蛋饼	蛋餅	dan4bing3	egg pancake 
打输	打輸	da3shu1	lose (a game)
摆摊子	擺攤子	bai3tan1zi5	set up a stall
萝卜糕	蘿蔔糕	luo2bo5gao1	turnip cake
烹饪课	烹飪課	peng1ren4ke4	cooking class
晒干	曬乾	shai4gan1	dry in the sun
各种各样	各種各樣	ge4zhong3ge4yang4	all kinds of; various kinds of
殖民统治	殖民統治	zhi2min2tong3zhi4	colonial rule
味增汤	味增湯	wei4zeng1tang1	Miso soup
萝卜干	蘿蔔乾	luo2bo5gan1	dried turnip
进一步	進一步	jin4 yi2 bu4	go a step further; further
投票	投票	tou2piao4	vote; poll
抱歉	抱歉	bao4qian4	be sorry; feel apologetic; to regret
表妹	表妹	biao3mei4	younger female cousin (daughters of paternal aunts or materal uncles and aunts)
反核	反核	fan3he2	Anti-nuclear
游行	遊行	you2xing2	march; parade; demonstration
政治	政治	zheng4zhi4	politics
热衷	熱衷	re4zhong1	to feel strongly about; to be fond of; obsession; deep commitment
前途	前途	qian2tu2	way forward; prospects; outlook for the future
劝	勸	quan4	persuade/urge (to do sth), comfort; console
而已	而已	er2yi3	that's all; nothing more
民主	民主	min2zhu3	democracy
表达	表達	biao3da2	to express; to voice; convey
公共	公共	gong1gong4	public; common (use)
议题	議題	yi4ti2	subject under discussion; issue
核能	核能	he2neng2	nuclear energy
电厂	電廠	dian4chang3	power station
由	由	you2	through; via; by; from; let (someone do something)
专家	專家	zhuan1jia1	expert; specialist
全面	全面	quan2mian4	all-around; comprehensive; fully
民意	民意	min2yi4	the will of the people; public opinion
代表	代表	dai4biao3	represent; to delegate; on behalf of
处理	處理	chu3li3	deal with; to handle; dispose of; to process; sell at a discount; punish
政党	政黨	zheng4dang3	political party
难道	難道	nan2dao4	could it be that ...?; don't tell me ...
满	滿	man3	full; orig. plentiful; abundant; 
宪法	憲法	xian4fa3	constitution; charter
投票权	投票權	tou2piao4quan2	right to vote; suffrage
选举	選舉	xuan3ju3	to elect; election
权利	權利	quan2li4	right; privilege
表示	表示	biao3shi4	express; show; indicate
反映	反映	fan3ying4	reflect; reflection; report on
为	為	wei2, wei4	be; become; for; on account of
服务	服務	fu2wu4	serve; service
职位	職位	zhi2wei4	(professional) position
任期	任期	ren4qi1	term of office; tenure of office
选民	選民	xuan3min2	voter; electorate; constituency
完美	完美	wan2mei3	perfect
积极	積極	ji1ji2	active; positive; energetic
最佳	最佳	zui4jia1	optimal; best
推销员	推銷員	tui1xiao1yuan2	salesperson
有道理	有道理	you3dao4li5	make sense; reasonable
候选人	候選人	hou4xuan3ren2	candidate
学术界	學術界	xue2shu4jie4	academic circles; academia
从政	從政	cong2zheng4	go into politics; take up a government post
政策	政策	zheng4ce4	policy
安定	安定	an1ding4	stable; quiet; settled; stabilize; calm and orderly
辞	辭	ci2	bid farewell; resign; diction
头脑	頭腦	tou2nao3	brain; mind
改革	改革	gai3ge2	reform
看法	看法	kan4fa3	point of view; opinion
教育	教育	jiao4yu4	education; to educate
方面	方面	fang1mian4	aspect; field; side; respect
得到	得到	de2dao4	get; obtain
连任	連任	lian2ren4	re-elect; renew one's term of office
届	屆	jie4	arrive at; period; session; (mw for events; meetings; etc.); fall due
支持度	支持度	zhi1chi2du4	degree of support; percentage of vote
落选	落選	luo4 xuan3	lose an election
得票率	得票率	de2piao4lv4	percentage of votes obtained
预期	預期	yu4qi1	expect; expected; anticipate
暂时	暫時	zan4shi2	temporary; transient; for the moment
老家	老家	lao3jia1	native place; place of origin; hometown
形象	形象	xing2xiang4	image; imagery; vivid; visualization
商量	商量	shang1liang5	consult; talk over; discuss
人脉	人脈	ren2mai4	human relations; contacts
弱势	弱勢	ruo4shi4	weak; disadvantaged; inferior
退休	退休	tui4xiu1	retirement (from work); retire
事业	事業	shi4ye4	undertaking; project; cause; enterprise; career; publicly funded institution
捐	捐	juan1	to contribute; to donate; to subscribe to; to abandon; to relinquish; contribution; tax
义务	義務	yi4wu4	duty; obligation; volunteer duty
经费	經費	jing1fei4	funds; expenses
竞选	競選	jing4xuan3	run for (electoral) office; take part in an election
也许	也許	ye3xu3	perhaps; probably; maybe
政治界	政治界	zheng4zhi4jie4	political circles; the world of politics
权力	權力	quan2li4	power; authority
辞掉	辭掉	ci2diao4	resign from a post; sack and get rid of; give up
提出	提出	ti2chu1	put forward; propose; advance; submit (an application); to post (on a website)
国民年金	國民年金	guo2min2nian2jin1	National pension
中间选民	中間選民	zhong1jian1xuan3min2	swing voters
一阵子	一陣子	yi2zhen4zi5	a period of time
下一步	下一步	xia4yi2bu4	next step
尽可能	儘可能	jin3ke3neng2	to the best of one's ability; as far as possible
出版社	出版社	chu1ban3she4	publishing house; publisher
捐出	捐出	juan1chu1	donate
二手书	二手書	er4shou3shu1	second hand book